,Forecast,Lower CI,Upper CI
2025-01-01,4.911812418187117,-10.459618234846992,20.28324307122123
2025-01-02,1.3259322965984506,-23.239596710955063,25.891461304151967
2025-01-03,-2.216035005854345,-33.371284170655926,28.939214158947234
2025-01-04,-3.235052297242307,-39.81146389844761,33.341359303963
2025-01-05,-2.5121528441228547,-42.41982242832349,37.39551674007779
2025-01-06,-2.271955641569938,-44.96669840728945,40.42278712414957
2025-01-07,-1.6903859331250748,-47.0010913791914,43.62031951294126
2025-01-08,-3.1529292033284606,-50.936597921933675,44.63073951527675
2025-01-09,-4.301111963274712,-56.1129694782575,47.51074555170807
2025-01-10,-5.3287054683843,-61.32041140666597,50.66300046989737
2025-01-11,-6.415393044966458,-66.29588810475313,53.46510201482021
2025-01-12,-6.388732775674395,-69.92042756914944,57.142962017800656
2025-01-13,-5.952629941025383,-72.36396170602382,60.45870182397305
2025-01-14,-5.673226231395509,-74.71596985817894,63.36951739538792
2025-01-15,-5.288454848779906,-76.86593670045445,66.28902700289464
2025-01-16,-5.692726488625809,-79.71820432524538,68.33275134799376
2025-01-17,-6.096532760475256,-82.93371064267387,70.74064512172336
2025-01-18,-6.434842688644571,-86.09502024011469,73.22533486282556
2025-01-19,-6.811198021709537,-89.1977009828309,75.57530493941181
2025-01-20,-6.719770056415065,-91.7452242027704,78.30568408994026
2025-01-21,-6.516815881891443,-93.8968740911261,80.8632423273432
2025-01-22,-6.37021613886695,-95.99507237163905,83.25464009390515
2025-01-23,-6.186970687806426,-98.00175782387127,85.62781644825843
2025-01-24,-6.316217205542078,-100.26990483373862,87.63747042265447
2025-01-25,-6.468553970799804,-102.65033791787393,89.71322997627432
2025-01-26,-6.591303327146939,-104.98434594800611,91.80173929371225
2025-01-27,-6.732053470353905,-107.2877400780181,93.8236331373103
2025-01-28,-6.6802221214487245,-109.35301005519163,95.99256581229419
2025-01-29,-6.593179421287523,-111.26715747177337,98.08079862919834
2025-01-30,-6.527659582262007,-113.14776995819545,100.09245079367145
