,Sarima Predictions
2024-10-03,0.3384975117566038
2024-10-04,-0.847076738908936
2024-10-05,0.3183312661730728
2024-10-06,-68.62513231805339
2024-10-07,156.15251740089397
2024-10-08,-124.83118370745171
2024-10-09,-114.53964950604048
2024-10-10,-89.14888668918633
2024-10-11,103.58001492547703
2024-10-12,4.691697386643369
2024-10-13,40.55018691719927
2024-10-14,55.95958061830241
2024-10-15,28.94991362148575
2024-10-16,-63.79233644496724
2024-10-17,-20.82667738653147
2024-10-18,35.801261303588134
2024-10-19,-49.20476173001245
2024-10-20,12.334641132910562
2024-10-21,38.084017722605495
2024-10-22,17.067486586365803
2024-10-23,-6.14186842945
2024-10-24,-59.03223138149739
2024-10-25,41.24324205682656
2024-10-26,20.58409733653619
2024-10-27,21.087867986503078
2024-10-28,43.97431372128407
2024-10-29,45.28436897906283
2024-10-30,-127.75424253923708
2024-10-31,28.787570051305522
2024-11-01,100.72107752588326
2024-11-02,58.28827328598342
2024-11-03,-101.32294729935356
2024-11-04,-34.92985867167631
2024-11-05,89.47618954891388
2024-11-06,68.1225476975184
2024-11-07,-109.59200275761857
2024-11-08,-46.41820420528348
2024-11-09,73.3603308521607
2024-11-10,62.13171617758352
2024-11-11,-104.54842473642813
2024-11-12,-39.41252651943883
2024-11-13,83.1875968106866
2024-11-14,65.78484793582071
2024-11-15,-107.62392224432875
2024-11-16,-43.6844853197263
2024-11-17,77.19507460018502
2024-11-18,63.55722191602182
2024-11-19,-105.74852907476527
2024-11-20,-41.07950764715664
2024-11-21,80.84922654459453
2024-11-22,64.91559551324123
2024-11-23,-106.89211625825875
2024-11-24,-42.66798473452218
2024-11-25,78.62097841081089
2024-11-26,64.08727926393584
2024-11-27,-106.19477360633725
2024-11-28,-41.699354759817396
2024-11-29,79.97973136395699
2024-11-30,64.59237433517977
2024-12-01,-106.62000290341923
2024-12-02,-42.290011077972196
2024-12-03,79.15118378898458
2024-12-04,64.284374786446
2024-12-05,-106.36070432961395
2024-12-06,-41.92983753876027
2024-12-07,79.65641991921939
2024-12-08,64.47218838317458
2024-12-09,-106.5188207878139
2024-12-10,-42.14946606784078
2024-12-11,79.34833435478677
2024-12-12,64.35766241305176
2024-12-13,-106.42240369617008
2024-12-14,-42.01553981970047
2024-12-15,79.53620040262395
2024-12-16,64.4274986659165
2024-12-17,-106.48119742116799
2024-12-18,-42.09720607688495
2024-12-19,79.42164244858621
2024-12-20,64.38491354562494
2024-12-21,-106.44534587202668
2024-12-22,-42.04740719387932
2024-12-23,79.49149820477206
2024-12-24,64.4108813259089
2024-12-25,-106.46720761961755
2024-12-26,-42.07777382061239
2024-12-27,79.44890119164202
2024-12-28,64.39504655525992
2024-12-29,-106.45387664733953
2024-12-30,-42.05925669806887
2024-12-31,79.47487622400405
2025-01-01,64.40470236560505
2025-01-02,-106.4620056782479
2025-01-03,-42.0705481671644
2025-01-04,79.45903703114449
